instruction,input,output,th_instruction,th_input,th_output
"If you are a doctor, please answer the medical questions based on the patient's description.","I woke up this morning feeling the whole room is spinning when i was sitting down. I went to the bathroom walking unsteadily, as i tried to focus i feel nauseous. I try to vomit but it wont come out.. After taking panadol and sleep for few hours, i still feel the same.. By the way, if i lay down or sit down, my head do not spin, only when i want to move around then i feel the whole world is spinning.. And it is normal stomach discomfort at the same time? Earlier after i relieved myself, the spinning lessen so i am not sure whether its connected or coincidences.. Thank you doc!","Hi, Thank you for posting your query. The most likely cause for your symptoms is benign paroxysmal positional vertigo (BPPV), a type of peripheral vertigo. In this condition, the most common symptom is dizziness or giddiness, which is made worse with movements. Accompanying nausea and vomiting are common. The condition is due to problem in the ear, and improves in a few days on own. Betahistine tablets would help relieve your symptoms. Doing vestibular rehabilitation or adaptation exercises would prevent the recurrence of these symptoms. An ENT evaluation would also help. I hope it helps. Best wishes, Chat Doctor.",หากคุณเป็นแพทย์โปรดตอบคำถามทางการแพทย์ตามคำอธิบายของผู้ป่วย,เช้านี้ฉันตื่นขึ้นมารู้สึกว่าทั้งห้องหมุนเมื่อฉันนั่งลงฉันไปห้องน้ำเดินอย่างไม่มั่นคงขณะที่ฉันพยายามโฟกัสฉันรู้สึกคลื่นไส้ฉันพยายามที่จะอาเจียน แต่มันก็จะไม่ออกมา .. หลังจากทานปาโดลและนอนหลับสักสองสามชั่วโมงฉันก็ยังรู้สึกเหมือนกัน .. ถ้าฉันนอนลงหรือนั่งลงหัวของฉันไม่หมุนเฉพาะตอนที่ฉันต้องการย้ายไปรอบ ๆ แล้วฉันรู้สึกว่าโลกทั้งใบหมุน ..ก่อนหน้านี้หลังจากที่ฉันบรรเทาตัวเองการหมุนจะลดลงดังนั้นฉันจึงไม่แน่ใจว่ามันเชื่อมต่อหรือบังเอิญ .. ขอบคุณเอกสาร!,สวัสดีขอบคุณสำหรับการโพสต์คำถามของคุณสาเหตุที่เป็นไปได้มากที่สุดสำหรับอาการของคุณคืออาการวิงเวียนศีรษะ paroxysmal ตำแหน่ง (BPPV) ที่เป็นพิษเป็นภัยในสภาพเช่นนี้อาการที่พบบ่อยที่สุดคืออาการวิงเวียนศีรษะหรืออาการงอซึ่งเลวร้ายยิ่งขึ้นด้วยการเคลื่อนไหวอาการคลื่นไส้และอาเจียนเป็นเรื่องธรรมดาเงื่อนไขเกิดจากปัญหาในหูและปรับปรุงในไม่กี่วันด้วยตัวเองแท็บเล็ต Betahistine จะช่วยบรรเทาอาการของคุณการทำฟื้นฟูสมรรถภาพขนถ่ายหรือแบบฝึกหัดการปรับตัวจะป้องกันการเกิดซ้ำของอาการเหล่านี้การประเมิน ENT จะช่วยได้เช่นกันฉันหวังว่ามันจะช่วยได้ด้วยความปรารถนาดีหมอแชท
"If you are a doctor, please answer the medical questions based on the patient's description.",My baby has been pooing 5-6 times a day for a week. In the last few days it has increased to 7 and they are very watery with green stringy bits in them. He does not seem unwell i.e no temperature and still eating. He now has a very bad nappy rash from the pooing ...help!,Hi... Thank you for consulting in Chat Doctor. It seems your kid is having viral diarrhea. Once it starts it will take 5-7 days to completely get better. Unless the kids having low urine output or very dull or excessively sleepy or blood in motion or green bilious vomiting...you need not worry. There is no need to use antibiotics unless there is blood in the motion. Antibiotics might worsen if unnecessarily used causing antibiotic associated diarrhea. I suggest you use zinc supplements (Z&D Chat Doctor.,หากคุณเป็นแพทย์โปรดตอบคำถามทางการแพทย์ตามคำอธิบายของผู้ป่วย,ลูกน้อยของฉันได้รับวันละ 5-6 ครั้งต่อสัปดาห์ในช่วงไม่กี่วันที่ผ่านมามันเพิ่มขึ้นเป็น 7 และพวกเขามีน้ำมากมีบิตสีเขียวเขาดูเหมือนจะไม่สบายเช่นไม่มีอุณหภูมิและยังคงกินอยู่ตอนนี้เขามีผื่นผ้าอ้อมที่แย่มากจากการปู ... ช่วยด้วย!,สวัสดี ... ขอบคุณสำหรับการให้คำปรึกษาใน Chat Doctorดูเหมือนว่าลูกของคุณกำลังมีอาการท้องเสียไวรัสเมื่อเริ่มต้นจะใช้เวลา 5-7 วันเพื่อให้ดีขึ้นอย่างสมบูรณ์เว้นแต่ว่าเด็ก ๆ ที่มีปัสสาวะต่ำหรือน่าเบื่อมากหรือง่วงนอนมากเกินไปหรือเลือดในการเคลื่อนไหวหรืออาเจียนทวิภาคีสีเขียว ... คุณไม่จำเป็นต้องกังวลไม่จำเป็นต้องใช้ยาปฏิชีวนะเว้นแต่จะมีเลือดในการเคลื่อนไหวยาปฏิชีวนะอาจแย่ลงหากใช้โดยไม่จำเป็นทำให้เกิดอาการท้องเสียที่เกี่ยวข้องกับยาปฏิชีวนะฉันขอแนะนำให้คุณใช้อาหารเสริมสังกะสี (แพทย์แชท Z&D
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello, My husband is taking Oxycodone due to a broken leg/surgery. He has been taking this pain medication for one month. We are trying to conceive our second baby. Will this medication afect the fetus? Or the health of the baby? Or can it bring birth defects? Thank you.","Hello, and I hope I can help you today.First, there is no medication that can be taken by the father that has any way to get into your system or a baby if you conceive.  Medications can only affect a fetus if you take it while pregnant. The only issue is that certain medications may decrease a men sperm count and affect fertility, however pain medications like Oxycodone do not have this effect. So there is no reason for you to worry about conceiving while taking this medication.  The best way you can prepare for a healthy pregnancy is to follow a well-balanced diet, limit alcohol consumption and avoid cigarette smoke, and take a daily prenatal vitamin or folic acid, as folic acid supplements in early pregnancy helps to prevent certain types of birth defects. I hope this answers your question and best wishes for your upcoming pregnancy,",หากคุณเป็นแพทย์โปรดตอบคำถามทางการแพทย์ตามคำอธิบายของผู้ป่วย,สวัสดีสามีของฉันกำลังรับ oxycodone เนื่องจากขาหัก/การผ่าตัดเขาทานยาแก้ปวดนี้เป็นเวลาหนึ่งเดือนเราพยายามที่จะตั้งครรภ์ลูกคนที่สองของเรายานี้จะทำให้ทารกในครรภ์หรือไม่?หรือสุขภาพของทารก?หรือมันสามารถนำข้อบกพร่องเกิด?ขอบคุณ,สวัสดีและฉันหวังว่าฉันจะช่วยคุณได้ในวันนี้ก่อนไม่มียาที่พ่อสามารถใช้ในการเข้าระบบหรือลูกน้อยได้หากคุณตั้งครรภ์ยาสามารถส่งผลกระทบต่อทารกในครรภ์ได้ก็ต่อเมื่อคุณตั้งครรภ์ปัญหาเดียวคือยาบางชนิดอาจลดจำนวนสเปิร์มของผู้ชายและส่งผลกระทบต่อความอุดมสมบูรณ์ แต่ยาแก้ปวดเช่น oxycodone ไม่มีผลกระทบนี้ดังนั้นจึงไม่มีเหตุผลที่คุณจะต้องกังวลเกี่ยวกับการตั้งครรภ์ขณะทานยานี้วิธีที่ดีที่สุดที่คุณสามารถเตรียมพร้อมสำหรับการตั้งครรภ์ที่มีสุขภาพดีคือการติดตามอาหารที่มีความสมดุล จำกัด การดื่มแอลกอฮอล์และหลีกเลี่ยงควันบุหรี่และใช้วิตามินก่อนคลอดหรือกรดโฟลิกทุกวันเป็นอาหารเสริมกรดโฟลิกในการตั้งครรภ์ในช่วงต้นช่วยป้องกันข้อบกพร่องบางประเภทฉันหวังว่านี่จะตอบคำถามของคุณและความปรารถนาดีสำหรับการตั้งครรภ์ที่กำลังจะมาถึง
"If you are a doctor, please answer the medical questions based on the patient's description.","lump under left nipple and stomach pain (male) Hi,I have recently noticed a few weeks ago a lump under my nipple, it hurts to touch and is about the size of a quarter. Also I have bern experiencing stomach pains that prevent me from eating. I immediatly feel full and have extreme pain. Please help","HI. You have two different problems. The lump under the nipple should be removed, biopsied. This will help you to get rid of the disease, and you get a diagnosis. Second problem looks a bit serious one",หากคุณเป็นแพทย์โปรดตอบคำถามทางการแพทย์ตามคำอธิบายของผู้ป่วย,ก้อนภายใต้หัวนมซ้ายและปวดท้อง (ชาย) สวัสดีฉันเพิ่งสังเกตเห็นเมื่อไม่กี่สัปดาห์ที่ผ่านมาก้อนเนื้อใต้หัวนมของฉันมันเจ็บที่จะสัมผัสและมีขนาดประมาณหนึ่งในสี่นอกจากนี้ฉันยังมีเบิร์นประสบอาการปวดท้องซึ่งป้องกันไม่ให้ฉันกินฉันรู้สึกอิ่มทันทีและมีอาการปวดอย่างมากกรุณาช่วย,สวัสดี.คุณมีปัญหาสองอย่างที่แตกต่างกันควรลบก้อนเนื้อใต้หัวนมสิ่งนี้จะช่วยให้คุณกำจัดโรคและคุณจะได้รับการวินิจฉัยปัญหาที่สองดูร้ายแรงเล็กน้อย
"If you are a doctor, please answer the medical questions based on the patient's description.",I have a 5 month old baby who is very congested with a terrible cough. Its rattly/raspy and croupy sounding cough. She started choking on her coughs and the mucous that has come up. She also has a fever and runny nose. Should i take her to urgent care?,"Thank you for using Chat Doctor. I would suggest that you see your doctor. Your baby maybe having bronchiolitis which is a lung infection common to your kids age. It is commonly caused by a virus. Albuterol via nebulization should be utilized in order to alleviate the wheezing and also help with the congestion. A decongestant can also be used for the colds. Also, it would also advise doing a chest X-ray in order to rule out other diseases (ex. pneumonia)sincerely, Mark RosarioGeneral pediatrics/Pediatric Pulmonology",หากคุณเป็นแพทย์โปรดตอบคำถามทางการแพทย์ตามคำอธิบายของผู้ป่วย,ฉันมีทารกอายุ 5 เดือนที่แออัดกับไอแย่มากมันมีอาการไอเสียงสูง/raspy และ croupyเธอเริ่มสำลักไอของเธอและเมือกที่เกิดขึ้นเธอยังมีไข้และน้ำมูกไหลฉันควรพาเธอไปดูแลอย่างเร่งด่วนหรือไม่?,ขอบคุณที่ใช้ Doctor Chatฉันขอแนะนำให้คุณไปพบแพทย์ของคุณลูกน้อยของคุณอาจจะมีหลอดลมฝอยอักเสบซึ่งเป็นโรคติดเชื้อปอดที่อายุน้อยกว่าเด็ก ๆมันเกิดจากไวรัสควรใช้ albuterol ผ่าน nebulization เพื่อบรรเทาเสียงฮืด ๆ และยังช่วยด้วยความแออัดDecongestant ยังสามารถใช้สำหรับโรคหวัดนอกจากนี้ยังจะแนะนำให้ทำเอ็กซ์เรย์ทรวงอกเพื่อแยกแยะโรคอื่น ๆ (เช่นโรคปอดบวม) อย่างจริงใจ Mark Rosariogeneral Pediatrics/Pulmonology กุมารเวชศาสตร์
"If you are a doctor, please answer the medical questions based on the patient's description.","I am F 38 in good shape work out (do triathlons) regular but have had back pain from different reasons throughout my life now I every so often wake up with severe lower back, hip pain for no reason. today the pain is almost taking my breathe away when i move. It is a dull pain when i am just lying down but the moment I make any sort of movement I have sharp and sometimes shooting pain down my legs.","Hi, From history it seems that you might be having degenerative changes in your lower back spines giving pinched nerve pressure. There might be having osteomalacia or osteoporosis as well. Go for x-ray lumbosacral region for osteoarthritis. Physiotherapy like back extension exercises will be much helpful. Take B1, B6, B!2 shots or medicine. Take calcium, vitamin A and D supplements. Ok and take care.",หากคุณเป็นแพทย์โปรดตอบคำถามทางการแพทย์ตามคำอธิบายของผู้ป่วย,ฉันเป็น F 38 ในรูปแบบที่ดีการออกกำลังกาย (ไตรกีฬา) เป็นประจำ แต่มีอาการปวดหลังจากเหตุผลที่แตกต่างกันตลอดชีวิตของฉันตอนนี้ฉันมักจะตื่นขึ้นมาด้วยหลังส่วนล่างที่รุนแรงปวดสะโพกโดยไม่มีเหตุผลวันนี้ความเจ็บปวดเกือบจะทำให้ฉันหายใจออกเมื่อฉันขยับมันเป็นความเจ็บปวดที่น่าเบื่อเมื่อฉันเพิ่งนอนลง แต่ช่วงเวลาที่ฉันเคลื่อนไหวทุกประเภทฉันมีความคมชัดและบางครั้งก็ยิงปวดขาของฉัน,"สวัสดีจากประวัติศาสตร์ดูเหมือนว่าคุณอาจมีการเปลี่ยนแปลงความเสื่อมในหนามหลังส่วนล่างของคุณอาจมี osteomalacia หรือโรคกระดูกพรุนเช่นกันไปสำหรับภูมิภาคเอ็กซเรย์ lumbosacral สำหรับโรคข้อเข่าเสื่อมกายภาพบำบัดเช่นแบบฝึกหัดการขยายด้านหลังจะมีประโยชน์มากใช้ b1, b6, b! 2 นัดหรือยาใช้แคลเซียม, วิตามิน A และ D เสริมตกลงและดูแล"
"If you are a doctor, please answer the medical questions based on the patient's description.","sir, MY uncle has ILD-Interstitial Lung disease.from my research over google i found that the cause is important to be known. the cause wat i feel is due to breakage of acid bottle in bathroom which caused lot of smoke and that time he wasnot able to be normal for 15-20 minutes. then he was normal .may be that would have been the reason for this ILD. Please suggest wat we should do",Thanks for your question on Chat Doctor. I can understand your concern. OLD (interstitial lung disease) can not be caused by single exposure of any chemical. Chronic exposure (for years) of chemicals can cause OLD. It is not possible to find out cause for each and every OLD patient. Some patients can develop OLD just because of aging (old age). So your uncle is not having OLD due to breakage of acid bottle. He might be having age related OLD. Better to start Perfinodone and N acetyl cysteine (NAC) for OLD rather than searching for cause. Hope I have solved your query. I will be happy to help you further. Wishing good health to your uncle. Thanks.,หากคุณเป็นแพทย์โปรดตอบคำถามทางการแพทย์ตามคำอธิบายของผู้ป่วย,ท่านลุงของฉันมีโรคปอดที่มีความคืบหน้าจากการวิจัยของฉันเกี่ยวกับ Google ฉันพบว่าสาเหตุสำคัญที่ต้องรู้จักสาเหตุที่ฉันรู้สึกเป็นเพราะขวดกรดแตกในห้องน้ำซึ่งทำให้เกิดควันจำนวนมากและเวลานั้นเขาไม่สามารถเป็นปกติได้เป็นเวลา 15-20 นาทีจากนั้นเขาก็เป็นเรื่องปกติอาจเป็นเพราะเหตุผลของ ILD นี้โปรดแนะนำว่าเราควรทำ,ขอบคุณสำหรับคำถามของคุณเกี่ยวกับแพทย์แชทฉันเข้าใจความกังวลของคุณได้เก่า (โรคปอดคั่นระหว่างหน้า) ไม่สามารถเกิดจากการสัมผัสกับสารเคมีใด ๆการสัมผัสเรื้อรัง (เป็นเวลาหลายปี) ของสารเคมีอาจทำให้เกิดเก่าเป็นไปไม่ได้ที่จะหาสาเหตุของผู้ป่วยเก่าทุกคนผู้ป่วยบางรายสามารถพัฒนาเก่าได้เพียงเพราะอายุ (อายุ)ดังนั้นลุงของคุณจึงไม่เก่าเนื่องจากขวดกรดแตกเขาอาจจะมีอายุที่เกี่ยวข้องกับอายุดีกว่าที่จะเริ่มต้น perfinodone และ n acetyl cysteine ​​(NAC) สำหรับเก่าแทนที่จะค้นหาสาเหตุหวังว่าฉันจะแก้ไขคำถามของคุณแล้วฉันยินดีที่จะช่วยเหลือคุณต่อไปขอให้มีสุขภาพที่ดีต่อลุงของคุณขอบคุณ.
"If you are a doctor, please answer the medical questions based on the patient's description.",my husband was working on a project in the house and all of a sudden a bump about the size of a half dollar appeard on his left leg inside below the knee. He is 69 years old and had triple by pass surgery 7 years ago. It stung when it first happened. Doesn t hurt now. He is seated with his leg ellevated. Is this an emergency?,"Hello. It could be a blood collection due to minor injury or a vein rupture which is also common at this age. It is not an emergency, but you should apply compression bandage and warm compresses if six hours have past. Furthermore, it should get relieved over the next few days but if it continues to increase or persist then you should see a Doctor who can examine the patient. Take care.  Chat Doctor.",หากคุณเป็นแพทย์โปรดตอบคำถามทางการแพทย์ตามคำอธิบายของผู้ป่วย,สามีของฉันกำลังทำงานในโครงการในบ้านและทันใดนั้นก็มีขนาดเท่าครึ่งหนึ่งปรากฏขึ้นที่ขาซ้ายของเขาด้านล่างหัวเข่าเขาอายุ 69 ปีและมีการผ่าตัดผ่านสามครั้งเมื่อ 7 ปีก่อนมันต่อยเมื่อมันเกิดขึ้นครั้งแรกตอนนี้ไม่เจ็บเขานั่งด้วยขาของเขานี่เป็นเหตุฉุกเฉิน?,สวัสดีมันอาจเป็นเลือดสะสมเนื่องจากการบาดเจ็บเล็กน้อยหรือการแตกของหลอดเลือดดำซึ่งเป็นเรื่องธรรมดาในวัยนี้มันไม่ใช่เหตุฉุกเฉิน แต่คุณควรใช้ผ้าพันแผลการบีบอัดและการบีบอัดที่อบอุ่นหากหกชั่วโมงมีอดีตนอกจากนี้ควรได้รับการบรรเทาในอีกไม่กี่วันข้างหน้า แต่ถ้ามันยังคงเพิ่มขึ้นหรือคงอยู่คุณควรไปพบแพทย์ที่สามารถตรวจสอบผู้ป่วยได้ดูแล.แชทแพทย์.
"If you are a doctor, please answer the medical questions based on the patient's description.",hi my nine year old son had a cough and flu symptons three months ago and the chesty sounding cough and green phlegm still remains. it did seem to get better but never totally went and has now picked up again...he has only ever had antibiotics once in his live which suggests he his generally fitand well and active...never short of breath or weezy...so why would this be....,"Hi, If the symptoms persist that long this suggests the presence of an allergic element. To treat that kind of allergy you can give him an over the counter antihistamines once daily before going to bed. A cough suppressant as dextromethorphan and an expectorant as Murine will help reduce the cough. Make sure he Chat Doctor.  If the green phlegm persists he might require an antibiotic. Hope I have answered your query. Let me know if I can assist you further.",หากคุณเป็นแพทย์โปรดตอบคำถามทางการแพทย์ตามคำอธิบายของผู้ป่วย,สวัสดีลูกชายอายุเก้าขวบของฉันมีอาการไอและไข้หวัดเมื่อสามเดือนที่แล้วและอาการไอเสียงและเสมหะสีเขียวยังคงอยู่ดูเหมือนว่าจะดีขึ้น แต่ไม่เคยไปทั้งหมดและตอนนี้หยิบขึ้นมาอีกครั้ง ... เขาเคยมียาปฏิชีวนะเพียงครั้งเดียวในการแสดงสดของเขา,สวัสดีหากอาการยังคงมีอยู่นานสิ่งนี้จะแสดงให้เห็นถึงการปรากฏตัวขององค์ประกอบการแพ้ในการรักษาโรคภูมิแพ้แบบนั้นคุณสามารถให้เขาผ่านเคาน์เตอร์ antihistamines วันละครั้งก่อนเข้านอนเครื่องปราบปรามไอเป็น dextromethorphan และเสมหะเป็น murine จะช่วยลดอาการไอตรวจสอบให้แน่ใจว่าเขาแชทหมอหากเสมหะสีเขียวยังคงอยู่เขาอาจต้องใช้ยาปฏิชีวนะหวังว่าฉันจะตอบคำถามของคุณแจ้งให้เราทราบหากฉันสามารถช่วยเหลือคุณต่อไป
"If you are a doctor, please answer the medical questions based on the patient's description.","gyno problemsfor the past few months, I have been having issues with my vagina. there always seems to be something wrong with me. its either an infection or a yeast infection from the medication used to treat the previous infection or a herpes outbreak as a result of a yeast infection. most recently, I had a uti. I was treated for that and everything seemed fine, until after I finished the medication. it still hurt when I had sex and still is uncomfortable to pee. I dont know whats going on and this has been going on for months.",Dear Friend. Welcome to Chat Doctor. I am Chat Doctor. I understand your concern. Recurring yeast / final infection occur due to,หากคุณเป็นแพทย์โปรดตอบคำถามทางการแพทย์ตามคำอธิบายของผู้ป่วย,ปัญหาของ Gyno ในช่วงไม่กี่เดือนที่ผ่านมาฉันมีปัญหากับช่องคลอดของฉันดูเหมือนว่าจะมีบางอย่างผิดปกติกับฉันเสมอทั้งการติดเชื้อหรือการติดเชื้อยีสต์จากยาที่ใช้ในการรักษาโรคติดเชื้อก่อนหน้านี้หรือการระบาดของโรคเริมอันเป็นผลมาจากการติดเชื้อยีสต์ล่าสุดฉันมี UTIฉันได้รับการรักษาเพื่อสิ่งนั้นและทุกอย่างก็ดูดีจนกระทั่งหลังจากที่ฉันทำยาเสร็จมันยังคงเจ็บเมื่อฉันมีเพศสัมพันธ์และยังไม่สบายใจที่จะฉี่ฉันไม่รู้ว่าเกิดอะไรขึ้นและสิ่งนี้เกิดขึ้นมาหลายเดือนแล้ว,เพื่อนรัก.ยินดีต้อนรับสู่ Chat Doctorฉันเป็นหมอแชทฉันเข้าใจความกังวลของคุณยีสต์ / การติดเชื้อครั้งสุดท้ายเกิดขึ้นเนื่องจาก
