Context,Response,th_Context,th_Response
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?","If everyone thinks you're worthless, then maybe you need to find new people to hang out with.Seriously, the social context in which a person lives is a big influence in self-esteem.Otherwise, you can go round and round trying to understand why you're not worthless, then go back to the same crowd and be knocked down again.There are many inspirational messages you can find in social media.  Maybe read some of the ones which state that no person is worthless, and that everyone has a good purpose to their life.Also, since our culture is so saturated with the belief that if someone doesn't feel good about themselves that this is somehow terrible.Bad feelings are part of living.  They are the motivation to remove ourselves from situations and relationships which do us more harm than good.Bad feelings do feel terrible.   Your feeling of worthlessness may be good in the sense of motivating you to find out that you are much better than your feelings today.",ฉันจะผ่านบางสิ่งด้วยความรู้สึกและตัวเองฉันแทบจะไม่นอนและฉันไม่ได้ทำอะไรเลยนอกจากคิดว่าฉันไร้ค่าอย่างไรและฉันไม่ควรอยู่ที่นี่อย่างไรฉันไม่เคยลองหรือฆ่าตัวตายด้วยการไตร่ตรองฉันต้องการแก้ไขปัญหาของฉันเสมอ แต่ฉันไม่เคยไปไหนมาไหนฉันจะเปลี่ยนความรู้สึกที่ไร้ค่าให้กับทุกคนได้อย่างไร?,หากทุกคนคิดว่าคุณไร้ค่าบางทีคุณอาจต้องหาคนใหม่ ๆ ให้ออกไปเที่ยวด้วยอย่างจริงจังบริบททางสังคมที่บุคคลมีอิทธิพลอย่างมากต่อความนับถือตนเองในทางกลับกันคุณสามารถไปรอบ ๆ และพยายามทำความเข้าใจว่าทำไมคุณถึงไม่ไร้ค่าอาจอ่านบางคนที่ระบุว่าไม่มีใครไร้ค่าและทุกคนมีจุดประสงค์ที่ดีในชีวิตของพวกเขานอกจากนี้เพราะวัฒนธรรมของเราอิ่มตัวด้วยความเชื่อที่ว่าถ้ามีคนไม่รู้สึกดีกับตัวเองพวกเขาเป็นแรงจูงใจที่จะลบตัวเองออกจากสถานการณ์และความสัมพันธ์ที่ทำให้เราได้รับอันตรายมากกว่าความดีความรู้สึกของแบดรู้สึกแย่มากความรู้สึกไร้ค่าของคุณอาจดีในแง่ของการกระตุ้นให้คุณพบว่าคุณดีกว่าความรู้สึกของคุณในวันนี้
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?","Hello, and thank you for your question and seeking advice on this. Feelings of worthlessness is unfortunately common. In fact, most people, if not all, have felt this to some degree at some point in their life. You are not alone. Changing our feelings is like changing our thoughts - it's hard to do. Our minds are so amazing that the minute you change your thought another one can be right there to take it's place. Without your permission, another thought can just pop in there. The new thought may feel worse than the last one! My guess is that you have tried several things to improve this on your own even before reaching out on here. People often try thinking positive thoughts, debating with their thoughts, or simply telling themselves that they need to ""snap out of it"" - which is also a thought that carries some self-criticism. Some people try a different approach, and there are counselors out there that can help you with this. The idea is that instead of trying to change the thoughts, you change how you respond to them. You learn skills that allow you to manage difficult thoughts and feelings differently so they don't have the same impact on you that they do right now. For some people, they actually DO begin to experience less hurtful thoughts once they learn how to manage the ones they have differently. Acceptance and Commitment Therapy may be a good choice for you. There is information online and even self-help books that you can use to teach you the skills that I mentioned. Because they are skills, they require practice, but many people have found great relief and an enriched life by learning them. As for suicidal thoughts, I am very glad to read that this has not happened to you. Still, you should watch out for this because it can be a sign of a worsening depression. If you begin to think about this, it is important to reach out to a support system right away. The National Suicide Prevention Lifeline is 1-800-273-8255. The text line is #741741. I hope some other colleagues will provide you more suggestions. Be well...Robin Landwehr, DBH, LPCC",ฉันจะผ่านบางสิ่งด้วยความรู้สึกและตัวเองฉันแทบจะไม่นอนและฉันไม่ได้ทำอะไรเลยนอกจากคิดว่าฉันไร้ค่าอย่างไรและฉันไม่ควรอยู่ที่นี่อย่างไรฉันไม่เคยลองหรือฆ่าตัวตายด้วยการไตร่ตรองฉันต้องการแก้ไขปัญหาของฉันเสมอ แต่ฉันไม่เคยไปไหนมาไหนฉันจะเปลี่ยนความรู้สึกที่ไร้ค่าให้กับทุกคนได้อย่างไร?,"สวัสดีและขอขอบคุณสำหรับคำถามของคุณและขอคำแนะนำเกี่ยวกับเรื่องนี้ความรู้สึกไร้ค่าเป็นเรื่องธรรมดาในความเป็นจริงคนส่วนใหญ่ถ้าไม่ใช่ทั้งหมดรู้สึกถึงสิ่งนี้ในระดับหนึ่งในบางจุดในชีวิตของพวกเขาคุณไม่ได้อยู่คนเดียวการเปลี่ยนความรู้สึกของเราก็เหมือนกับการเปลี่ยนความคิดของเรา - มันยากที่จะทำจิตใจของเราช่างน่าอัศจรรย์มากที่นาทีที่คุณเปลี่ยนความคิดของคุณอีกคนหนึ่งสามารถอยู่ที่นั่นเพื่อเข้ามาแทนที่หากไม่ได้รับอนุญาตจากคุณความคิดอื่นก็สามารถปรากฏขึ้นได้ความคิดใหม่อาจรู้สึกแย่กว่าความคิดสุดท้าย!ฉันเดาว่าคุณได้ลองหลายสิ่งหลายอย่างเพื่อปรับปรุงสิ่งนี้ด้วยตัวคุณเองก่อนที่จะไปถึงที่นี่ผู้คนมักจะลองคิดคิดในเชิงบวกโต้วาทีกับความคิดของพวกเขาหรือเพียงแค่บอกตัวเองว่าพวกเขาจำเป็นต้อง ""จับออกมาจากมัน"" - ซึ่งเป็นความคิดที่มีการวิจารณ์ตนเองบางคนลองวิธีการที่แตกต่างและมีที่ปรึกษาที่สามารถช่วยคุณได้ความคิดคือแทนที่จะพยายามเปลี่ยนความคิดคุณเปลี่ยนวิธีตอบสนองต่อพวกเขาคุณเรียนรู้ทักษะที่ช่วยให้คุณจัดการความคิดและความรู้สึกที่ยากลำบากแตกต่างกันดังนั้นพวกเขาจึงไม่มีผลกระทบต่อคุณที่พวกเขาทำในตอนนี้สำหรับบางคนพวกเขาเริ่มมีความคิดที่เจ็บปวดน้อยลงเมื่อพวกเขาเรียนรู้วิธีการจัดการคนที่พวกเขาแตกต่างกันการยอมรับและการบำบัดความมุ่งมั่นอาจเป็นทางเลือกที่ดีสำหรับคุณมีข้อมูลออนไลน์และแม้แต่หนังสือช่วยเหลือตนเองที่คุณสามารถใช้เพื่อสอนทักษะที่ฉันพูดถึงเนื่องจากพวกเขาเป็นทักษะพวกเขาต้องการการฝึกฝน แต่หลายคนพบว่าการบรรเทาทุกข์และชีวิตที่ได้รับการเสริมสมรรถนะโดยการเรียนรู้พวกเขาสำหรับความคิดฆ่าตัวตายฉันดีใจมากที่ได้อ่านว่าสิ่งนี้ไม่ได้เกิดขึ้นกับคุณถึงกระนั้นคุณควรระวังเรื่องนี้เพราะมันอาจเป็นสัญญาณของภาวะซึมเศร้าที่เลวร้ายลงหากคุณเริ่มคิดเกี่ยวกับเรื่องนี้สิ่งสำคัญคือการเข้าถึงระบบสนับสนุนทันทีเส้นชีวิตป้องกันการฆ่าตัวตายแห่งชาติคือ 1-800-273-8255บรรทัดข้อความคือ #741741ฉันหวังว่าเพื่อนร่วมงานคนอื่น ๆ จะให้คำแนะนำเพิ่มเติมแก่คุณสบายดี ... Robin Landwehr, DBH, LPCC"
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",First thing I'd suggest is getting the sleep you need or it will impact how you think and feel. I'd look at finding what is going well in your life and what you can be grateful for. I believe everyone has talents and wants to find their purpose in life. I think you can figure it out with some help.,ฉันจะผ่านบางสิ่งด้วยความรู้สึกและตัวเองฉันแทบจะไม่นอนและฉันไม่ได้ทำอะไรเลยนอกจากคิดว่าฉันไร้ค่าอย่างไรและฉันไม่ควรอยู่ที่นี่อย่างไรฉันไม่เคยลองหรือฆ่าตัวตายด้วยการไตร่ตรองฉันต้องการแก้ไขปัญหาของฉันเสมอ แต่ฉันไม่เคยไปไหนมาไหนฉันจะเปลี่ยนความรู้สึกที่ไร้ค่าให้กับทุกคนได้อย่างไร?,สิ่งแรกที่ฉันแนะนำคือการนอนหลับที่คุณต้องการหรือมันจะส่งผลกระทบต่อความคิดและความรู้สึกฉันจะดูว่าการค้นหาสิ่งที่เป็นไปด้วยดีในชีวิตของคุณและสิ่งที่คุณสามารถขอบคุณได้ฉันเชื่อว่าทุกคนมีความสามารถและต้องการค้นหาจุดประสงค์ในชีวิตฉันคิดว่าคุณสามารถหามันได้ด้วยความช่วยเหลือ
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?","Therapy is essential for those that are feeling depressed and worthless. When I work with those that are experiencing concerns related to feeling of depression and issues with self esteem. I generally work with my client to help build coping skills to reduce level of depression and to assist with strengthening  self esteem, by guiding my client with CBT practices. CBT helps with gaining a better awareness of how your thought process influences your belief system, and how your beliefs impact your actions and the outcome of your behaviors.  This process isn’t easy but it helps teach an individual that we don’t always have control over what happens in our lives but we can control how we interpret, feel, and behave. CBT is good for individuals dealing with depression, anxiety, toxic relationships, stress, self esteem, codependency, etc.",ฉันจะผ่านบางสิ่งด้วยความรู้สึกและตัวเองฉันแทบจะไม่นอนและฉันไม่ได้ทำอะไรเลยนอกจากคิดว่าฉันไร้ค่าอย่างไรและฉันไม่ควรอยู่ที่นี่อย่างไรฉันไม่เคยลองหรือฆ่าตัวตายด้วยการไตร่ตรองฉันต้องการแก้ไขปัญหาของฉันเสมอ แต่ฉันไม่เคยไปไหนมาไหนฉันจะเปลี่ยนความรู้สึกที่ไร้ค่าให้กับทุกคนได้อย่างไร?,การบำบัดเป็นสิ่งจำเป็นสำหรับผู้ที่รู้สึกหดหู่และไร้ค่าเมื่อฉันทำงานกับผู้ที่กำลังประสบกับความกังวลที่เกี่ยวข้องกับความรู้สึกซึมเศร้าและปัญหาเกี่ยวกับความนับถือตนเองโดยทั่วไปฉันทำงานร่วมกับลูกค้าของฉันเพื่อช่วยสร้างทักษะการเผชิญปัญหาเพื่อลดระดับความซึมเศร้าและเพื่อช่วยเสริมสร้างความนับถือตนเองโดยการชี้นำลูกค้าของฉันด้วยการปฏิบัติ CBTCBT ช่วยให้การรับรู้ที่ดีขึ้นว่ากระบวนการคิดของคุณมีผลต่อระบบความเชื่อของคุณอย่างไรและความเชื่อของคุณส่งผลกระทบต่อการกระทำและผลลัพธ์ของพฤติกรรมของคุณอย่างไรกระบวนการนี้ไม่ใช่เรื่องง่าย แต่ช่วยสอนบุคคลที่เราไม่สามารถควบคุมสิ่งที่เกิดขึ้นได้ในชีวิตของเราเสมอ แต่เราสามารถควบคุมวิธีการตีความความรู้สึกและประพฤติตนได้CBT เป็นสิ่งที่ดีสำหรับบุคคลที่เกี่ยวข้องกับภาวะซึมเศร้าความวิตกกังวลความสัมพันธ์ที่เป็นพิษความเครียดความนับถือตนเองการพึ่งพาอาศัยกัน ฯลฯ
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",I first want to let you know that you are not alone in your feelings and there is always someone there to help. You can always change your feelings and change your way of thinking by being open to trying to change. You can always make yourself available to learning new things or volunteering so that you can make a purpose for yourself.,ฉันจะผ่านบางสิ่งด้วยความรู้สึกและตัวเองฉันแทบจะไม่นอนและฉันไม่ได้ทำอะไรเลยนอกจากคิดว่าฉันไร้ค่าอย่างไรและฉันไม่ควรอยู่ที่นี่อย่างไรฉันไม่เคยลองหรือฆ่าตัวตายด้วยการไตร่ตรองฉันต้องการแก้ไขปัญหาของฉันเสมอ แต่ฉันไม่เคยไปไหนมาไหนฉันจะเปลี่ยนความรู้สึกที่ไร้ค่าให้กับทุกคนได้อย่างไร?,ก่อนอื่นฉันต้องการให้คุณรู้ว่าคุณไม่ได้อยู่คนเดียวในความรู้สึกของคุณและมีใครบางคนอยู่ที่นั่นเสมอคุณสามารถเปลี่ยนความรู้สึกของคุณและเปลี่ยนวิธีคิดของคุณโดยเปิดรับการพยายามเปลี่ยนแปลงคุณสามารถทำให้ตัวเองสามารถเรียนรู้สิ่งใหม่ ๆ หรือเป็นอาสาสมัครเพื่อที่คุณจะได้สร้างจุดประสงค์ให้กับตัวเอง
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?","Heck, sure thing, hun!Feelings of 'depression' have a deeply-rooted base in physical structures that may not be functioning very well at present; and, we can certainly turn them on again using means that you are able to find around the house and with relative ease :)After that, emotional and spiritual support will be liberally applied.",ฉันจะผ่านบางสิ่งด้วยความรู้สึกและตัวเองฉันแทบจะไม่นอนและฉันไม่ได้ทำอะไรเลยนอกจากคิดว่าฉันไร้ค่าอย่างไรและฉันไม่ควรอยู่ที่นี่อย่างไรฉันไม่เคยลองหรือฆ่าตัวตายด้วยการไตร่ตรองฉันต้องการแก้ไขปัญหาของฉันเสมอ แต่ฉันไม่เคยไปไหนมาไหนฉันจะเปลี่ยนความรู้สึกที่ไร้ค่าให้กับทุกคนได้อย่างไร?,เฮ็คแน่นอนฮัน! ความรู้สึกของ 'ภาวะซึมเศร้า' มีฐานที่หยั่งรากลึกในโครงสร้างทางกายภาพที่อาจทำงานได้ดีในปัจจุบัน;และเราสามารถเปิดใช้งานได้อีกครั้งโดยใช้หมายความว่าคุณสามารถค้นหารอบ ๆ บ้านและด้วยความสะดวก :) หลังจากนั้นการสนับสนุนทางอารมณ์และจิตวิญญาณจะถูกนำไปใช้อย่างอิสระ
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",You are exhibiting some specific traits of a particular temperament type. Seek out a counselor who provides NCCA temperament therapy and discover the joy of being you -- God loves you as you are!,ฉันจะผ่านบางสิ่งด้วยความรู้สึกและตัวเองฉันแทบจะไม่นอนและฉันไม่ได้ทำอะไรเลยนอกจากคิดว่าฉันไร้ค่าอย่างไรและฉันไม่ควรอยู่ที่นี่อย่างไรฉันไม่เคยลองหรือฆ่าตัวตายด้วยการไตร่ตรองฉันต้องการแก้ไขปัญหาของฉันเสมอ แต่ฉันไม่เคยไปไหนมาไหนฉันจะเปลี่ยนความรู้สึกที่ไร้ค่าให้กับทุกคนได้อย่างไร?,คุณกำลังแสดงลักษณะเฉพาะบางอย่างของอารมณ์เฉพาะค้นหาที่ปรึกษาที่ให้การบำบัดด้วยอารมณ์ของ NCCA และค้นพบความสุขของการเป็นคุณ - พระเจ้าทรงรักคุณอย่างที่คุณเป็น!
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?","That is intense. Depression is a liar. Sometimes depression places these glasses over our eyes, these dark sunglasses that change how we see things. Depression tells us things like ""you're worthless"" ""no one likes you"" ""don't worry about doing anything."" And it is so easy for us to listen and to be tricked into thinking that just because we feel something means it is true. Please know that even if you are feeling worthless right now, that doesn't mean you are worthless.The first step to working through this is recognizing what is going on. Recognizing when depression is telling you the same story (ie; being worthless) with different words (ie worthless here, worthless there) and making an effort to talk back. While I can not give you a diagnosis of depression, reading what you are going through, it sounds like you might need help to get back on track. Seeing a counselor can open an entirely new option up wherein someone who is not involved in your life can help you without judgement and with an objective perspective. This can do wonders in unwrapping these kinds of thoughts. Wishing you the absolute best!",ฉันจะผ่านบางสิ่งด้วยความรู้สึกและตัวเองฉันแทบจะไม่นอนและฉันไม่ได้ทำอะไรเลยนอกจากคิดว่าฉันไร้ค่าอย่างไรและฉันไม่ควรอยู่ที่นี่อย่างไรฉันไม่เคยลองหรือฆ่าตัวตายด้วยการไตร่ตรองฉันต้องการแก้ไขปัญหาของฉันเสมอ แต่ฉันไม่เคยไปไหนมาไหนฉันจะเปลี่ยนความรู้สึกที่ไร้ค่าให้กับทุกคนได้อย่างไร?,"ที่รุนแรงอาการซึมเศร้าเป็นคนโกหกบางครั้งภาวะซึมเศร้าทำให้แว่นตาเหล่านี้อยู่เหนือดวงตาแว่นกันแดดสีเข้มเหล่านี้ซึ่งเปลี่ยนวิธีที่เราเห็นสิ่งต่าง ๆอาการซึมเศร้าบอกเราว่า ""คุณไร้ค่า"" ""ไม่มีใครชอบคุณ"" ""ไม่ต้องกังวลกับการทำอะไรเลย""และมันเป็นเรื่องง่ายสำหรับเราที่จะฟังและถูกหลอกให้คิดว่าเพียงเพราะเรารู้สึกว่าบางสิ่งบางอย่างหมายความว่ามันเป็นเรื่องจริงโปรดทราบว่าแม้ว่าคุณจะรู้สึกไร้ค่าในตอนนี้ แต่นั่นไม่ได้หมายความว่าคุณไร้ค่าขั้นตอนแรกในการทำงานผ่านสิ่งนี้คือการตระหนักถึงสิ่งที่เกิดขึ้นการรับรู้เมื่อภาวะซึมเศร้ากำลังบอกเล่าเรื่องราวเดียวกัน (เช่นการไร้ค่า) ด้วยคำพูดที่แตกต่างกัน (เช่นไร้ค่าที่นี่ไร้ค่าที่นั่น) และพยายามพูดคุยกลับในขณะที่ฉันไม่สามารถให้การวินิจฉัยโรคซึมเศร้าได้ แต่อ่านสิ่งที่คุณกำลังทำอยู่ แต่ดูเหมือนว่าคุณอาจต้องการความช่วยเหลือในการกลับมาติดตามการเห็นที่ปรึกษาสามารถเปิดตัวเลือกใหม่ทั้งหมดโดยที่คนที่ไม่ได้มีส่วนร่วมในชีวิตของคุณสามารถช่วยคุณได้โดยไม่ต้องตัดสินและมีมุมมองที่เป็นกลางสิ่งนี้สามารถทำสิ่งมหัศจรรย์ในการคลายความคิดประเภทนี้ขออวยพรให้คุณดีที่สุด!"
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",It sounds like you may be putting yourself last. You wrote that you want to fix your issues but never get around to it. I wonder how you are spending your mental and physical energy. Are you spending time taking care of and doing for others? I also wonder where the thoughts and feelings of being worthless are coming from - are you around people who treat you poorly or are hurtful? Or do you feel it is more of a worry you have but aren't really sure how others feel? It may be helpful to talk to someone about your feelings - a counselor perhaps - to clarify your feelings and move forward from se that are hurting you.,ฉันจะผ่านบางสิ่งด้วยความรู้สึกและตัวเองฉันแทบจะไม่นอนและฉันไม่ได้ทำอะไรเลยนอกจากคิดว่าฉันไร้ค่าอย่างไรและฉันไม่ควรอยู่ที่นี่อย่างไรฉันไม่เคยลองหรือฆ่าตัวตายด้วยการไตร่ตรองฉันต้องการแก้ไขปัญหาของฉันเสมอ แต่ฉันไม่เคยไปไหนมาไหนฉันจะเปลี่ยนความรู้สึกที่ไร้ค่าให้กับทุกคนได้อย่างไร?,ดูเหมือนว่าคุณอาจจะทำให้ตัวเองเป็นคนสุดท้ายคุณเขียนว่าคุณต้องการแก้ไขปัญหาของคุณ แต่ไม่เคยไปเลยฉันสงสัยว่าคุณใช้พลังงานทางจิตใจและร่างกายของคุณอย่างไรคุณใช้เวลาดูแลและทำเพื่อคนอื่นหรือไม่?ฉันยังสงสัยว่าความคิดและความรู้สึกของการไร้ค่ามาจากไหน - คุณอยู่รอบ ๆ คนที่ปฏิบัติต่อคุณไม่ดีหรือเจ็บปวดหรือไม่?หรือคุณรู้สึกว่ามันเป็นความกังวลมากกว่าที่คุณมี แต่ไม่แน่ใจจริงๆว่าคนอื่นรู้สึกอย่างไร?อาจเป็นประโยชน์ในการพูดคุยกับใครบางคนเกี่ยวกับความรู้สึกของคุณ - อาจเป็นที่ปรึกษา - เพื่อชี้แจงความรู้สึกของคุณและก้าวไปข้างหน้าจาก SE ที่ทำร้ายคุณ
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?","It must be really difficult to experience what your going through right now.  It takes a lot of courage to reach out. It sounds like you want to get better, but perhaps need some help to get over the hump.  Many of the symptoms you have described are consistent with a person who is dealing with depression.   Depression is a treatable condition.  Typically, if these symptoms have persisted for more than two weeks, then it is a good idea to seek professional help.   Someone who is trained in dealing with depression.  Initially, a comprehensive assessment would be completed to rule out any other causes for your symptoms and to determine the exact nature of your presenting concern.  Then, in collaboration with one another, a tailored treatment plan would be developed, focusing on how to best help you reach your goals.  The good news is that their is hope for getting better! You don;t have to do it alone.  Allow me to be your ally in healing.",ฉันจะผ่านบางสิ่งด้วยความรู้สึกและตัวเองฉันแทบจะไม่นอนและฉันไม่ได้ทำอะไรเลยนอกจากคิดว่าฉันไร้ค่าอย่างไรและฉันไม่ควรอยู่ที่นี่อย่างไรฉันไม่เคยลองหรือฆ่าตัวตายด้วยการไตร่ตรองฉันต้องการแก้ไขปัญหาของฉันเสมอ แต่ฉันไม่เคยไปไหนมาไหนฉันจะเปลี่ยนความรู้สึกที่ไร้ค่าให้กับทุกคนได้อย่างไร?,มันต้องเป็นเรื่องยากที่จะได้สัมผัสกับสิ่งที่คุณกำลังเผชิญอยู่ในตอนนี้ต้องใช้ความกล้าหาญอย่างมากในการเข้าถึงดูเหมือนว่าคุณต้องการให้ดีขึ้น แต่อาจต้องการความช่วยเหลือในการเอาชนะโคกอาการหลายอย่างที่คุณอธิบายนั้นสอดคล้องกับบุคคลที่กำลังเผชิญกับภาวะซึมเศร้าภาวะซึมเศร้าเป็นเงื่อนไขที่รักษาได้โดยทั่วไปหากอาการเหล่านี้ยังคงมีอยู่นานกว่าสองสัปดาห์คุณควรขอความช่วยเหลือจากมืออาชีพคนที่ได้รับการฝึกฝนในการจัดการกับภาวะซึมเศร้าในขั้นต้นการประเมินที่ครอบคลุมจะเสร็จสิ้นเพื่อแยกแยะสาเหตุอื่น ๆ สำหรับอาการของคุณและเพื่อกำหนดลักษณะที่แน่นอนของความกังวลนำเสนอของคุณจากนั้นในความร่วมมือซึ่งกันและกันแผนการรักษาที่ปรับแต่งจะได้รับการพัฒนาโดยมุ่งเน้นไปที่วิธีการช่วยให้คุณบรรลุเป้าหมายได้ดีที่สุดข่าวดีก็คือว่าพวกเขาหวังว่าจะดีขึ้น!คุณไม่ต้องทำคนเดียวให้ฉันเป็นพันธมิตรของคุณในการรักษา
