input,output,instruction,th_input,th_output,th_instruction
"A McMahon score of at least 6 calculated on admission allows for a more sensitive, specific and timely identification of patients who may benefit from high-volume fluid resuscitation.",This is a directly correlative relationship,"Question: Is this describing a (1) directly correlative relationship, (2) conditionally causative relationship, (3) causative relationship, or (0) no relationship.",คะแนนแมคมาฮอนอย่างน้อย 6 ที่คำนวณจากการเข้าเรียนช่วยให้การระบุผู้ป่วยที่มีความละเอียดอ่อนเฉพาะเจาะจงและทันเวลามากขึ้นซึ่งอาจได้รับประโยชน์จากการช่วยชีวิตของเหลวในปริมาณสูง,นี่คือความสัมพันธ์ที่สัมพันธ์กันโดยตรง,คำถาม: นี่คือการอธิบายความสัมพันธ์ที่สัมพันธ์กันโดยตรง (2) ความสัมพันธ์เชิงสาเหตุตามเงื่อนไข (3) ความสัมพันธ์เชิงสาเหตุหรือ (0) ไม่มีความสัมพันธ์
The rs7903146 (C/T) polymorphism of the TCF7L2 gene might not be associated with obesity in the Cameroonian population.,This is a conditionally causative relationship,"Question: Is this describing a (1) directly correlative relationship, (2) conditionally causative relationship, (3) causative relationship, or (0) no relationship.",RS7903146 ​​(C/T) polymorphism ของยีน TCF7L2 อาจไม่เกี่ยวข้องกับโรคอ้วนในประชากรแคเมอรูน,นี่คือความสัมพันธ์เชิงสาเหตุตามเงื่อนไข,คำถาม: นี่คือการอธิบายความสัมพันธ์ที่สัมพันธ์กันโดยตรง (2) ความสัมพันธ์เชิงสาเหตุตามเงื่อนไข (3) ความสัมพันธ์เชิงสาเหตุหรือ (0) ไม่มีความสัมพันธ์
"A fifth of patients with a negative CDS of the TAs had signs of vasculitis on the CDS of the FaA, or OcA.",This is a conditionally causative relationship,"Question: Is this describing a (1) directly correlative relationship, (2) conditionally causative relationship, (3) causative relationship, or (0) no relationship.",หนึ่งในห้าของผู้ป่วยที่มีซีดีเชิงลบของ TAS มีสัญญาณของ vasculitis บนซีดีของ FAA หรือ OCA,นี่คือความสัมพันธ์เชิงสาเหตุตามเงื่อนไข,คำถาม: นี่คือการอธิบายความสัมพันธ์ที่สัมพันธ์กันโดยตรง (2) ความสัมพันธ์เชิงสาเหตุตามเงื่อนไข (3) ความสัมพันธ์เชิงสาเหตุหรือ (0) ไม่มีความสัมพันธ์
We observed an association between EH/EC and a history of gestational diabetes specific to younger women.,This is a conditionally causative relationship,"Question: Is this describing a (1) directly correlative relationship, (2) conditionally causative relationship, (3) causative relationship, or (0) no relationship.",เราสังเกตเห็นความสัมพันธ์ระหว่าง EH/EC และประวัติของโรคเบาหวานขณะตั้งครรภ์ที่เฉพาะเจาะจงสำหรับผู้หญิงที่อายุน้อยกว่า,นี่คือความสัมพันธ์เชิงสาเหตุตามเงื่อนไข,คำถาม: นี่คือการอธิบายความสัมพันธ์ที่สัมพันธ์กันโดยตรง (2) ความสัมพันธ์เชิงสาเหตุตามเงื่อนไข (3) ความสัมพันธ์เชิงสาเหตุหรือ (0) ไม่มีความสัมพันธ์
The CHA2DS2-VASc tool predicts thromboembolic events and overall mortality in patients without atrial fibrillation who have implantable devices.,This is a conditionally causative relationship,"Question: Is this describing a (1) directly correlative relationship, (2) conditionally causative relationship, (3) causative relationship, or (0) no relationship.",เครื่องมือ CHA2DS2-VASC ทำนายเหตุการณ์ลิ่มเลือดอุดตันและการเสียชีวิตโดยรวมในผู้ป่วยที่ไม่มีภาวะหัวใจห้องบนที่มีอุปกรณ์ฝัง,นี่คือความสัมพันธ์เชิงสาเหตุตามเงื่อนไข,คำถาม: นี่คือการอธิบายความสัมพันธ์ที่สัมพันธ์กันโดยตรง (2) ความสัมพันธ์เชิงสาเหตุตามเงื่อนไข (3) ความสัมพันธ์เชิงสาเหตุหรือ (0) ไม่มีความสัมพันธ์
"""This study provides cross-sectional data confirming the existence of the IRS in native Hawaiians.""",This is a directly correlative relationship,"Question: Is this describing a (1) directly correlative relationship, (2) conditionally causative relationship, (3) causative relationship, or (0) no relationship.","""การศึกษาครั้งนี้ให้ข้อมูลแบบตัดขวางยืนยันการมีอยู่ของ IRS ในชาวฮาวายพื้นเมือง""",นี่คือความสัมพันธ์ที่สัมพันธ์กันโดยตรง,คำถาม: นี่คือการอธิบายความสัมพันธ์ที่สัมพันธ์กันโดยตรง (2) ความสัมพันธ์เชิงสาเหตุตามเงื่อนไข (3) ความสัมพันธ์เชิงสาเหตุหรือ (0) ไม่มีความสัมพันธ์
IMPACT: This study eliminates the previously suggested marker ApoD as a predictor of recurrence among tamoxifen-treated women.,This is a directly correlative relationship,"Question: Is this describing a (1) directly correlative relationship, (2) conditionally causative relationship, (3) causative relationship, or (0) no relationship.",ผลกระทบ: การศึกษาครั้งนี้ช่วยลดเครื่องหมาย APOD ที่แนะนำไว้ก่อนหน้านี้ว่าเป็นตัวทำนายการเกิดซ้ำของผู้หญิงที่ได้รับการรักษาด้วย Tamoxifen,นี่คือความสัมพันธ์ที่สัมพันธ์กันโดยตรง,คำถาม: นี่คือการอธิบายความสัมพันธ์ที่สัมพันธ์กันโดยตรง (2) ความสัมพันธ์เชิงสาเหตุตามเงื่อนไข (3) ความสัมพันธ์เชิงสาเหตุหรือ (0) ไม่มีความสัมพันธ์
"""Because a biopsy is indicated for persistent palpable masses, the addition of diagnostic MRI only adds another step, with associated costs and burdens.""",This is a directly correlative relationship,"Question: Is this describing a (1) directly correlative relationship, (2) conditionally causative relationship, (3) causative relationship, or (0) no relationship.","""เนื่องจากการตรวจชิ้นเนื้อถูกระบุไว้สำหรับมวลที่เห็นได้ชัดอย่างต่อเนื่องการเพิ่ม MRI การวินิจฉัยจะเพิ่มขั้นตอนอื่นด้วยค่าใช้จ่ายและภาระที่เกี่ยวข้อง""",นี่คือความสัมพันธ์ที่สัมพันธ์กันโดยตรง,คำถาม: นี่คือการอธิบายความสัมพันธ์ที่สัมพันธ์กันโดยตรง (2) ความสัมพันธ์เชิงสาเหตุตามเงื่อนไข (3) ความสัมพันธ์เชิงสาเหตุหรือ (0) ไม่มีความสัมพันธ์
These data inform follow-up practises aimed at optimizing outcomes.,This is a directly correlative relationship,"Question: Is this describing a (1) directly correlative relationship, (2) conditionally causative relationship, (3) causative relationship, or (0) no relationship.",ข้อมูลเหล่านี้แจ้งการติดตามผลเพื่อเพิ่มประสิทธิภาพ,นี่คือความสัมพันธ์ที่สัมพันธ์กันโดยตรง,คำถาม: นี่คือการอธิบายความสัมพันธ์ที่สัมพันธ์กันโดยตรง (2) ความสัมพันธ์เชิงสาเหตุตามเงื่อนไข (3) ความสัมพันธ์เชิงสาเหตุหรือ (0) ไม่มีความสัมพันธ์
"This inverse association can be partially explained by the beneficial effects of physical activity on HDL-C, vitamin D, apolipoprotein B, and hemoglobin A1c.",This no relationship.,"Question: Is this describing a (1) directly correlative relationship, (2) conditionally causative relationship, (3) causative relationship, or (0) no relationship.","ความสัมพันธ์แบบผกผันนี้สามารถอธิบายได้บางส่วนโดยผลประโยชน์ของการออกกำลังกายใน HDL-C, วิตามินดี, apolipoprotein B และฮีโมโกลบิน A1C",ไม่มีความสัมพันธ์นี้,คำถาม: นี่คือการอธิบายความสัมพันธ์ที่สัมพันธ์กันโดยตรง (2) ความสัมพันธ์เชิงสาเหตุตามเงื่อนไข (3) ความสัมพันธ์เชิงสาเหตุหรือ (0) ไม่มีความสัมพันธ์
These results may have important implications for public health.,This is a directly correlative relationship,"Question: Is this describing a (1) directly correlative relationship, (2) conditionally causative relationship, (3) causative relationship, or (0) no relationship.",ผลลัพธ์เหล่านี้อาจมีความหมายที่สำคัญต่อสุขภาพของประชาชน,นี่คือความสัมพันธ์ที่สัมพันธ์กันโดยตรง,คำถาม: นี่คือการอธิบายความสัมพันธ์ที่สัมพันธ์กันโดยตรง (2) ความสัมพันธ์เชิงสาเหตุตามเงื่อนไข (3) ความสัมพันธ์เชิงสาเหตุหรือ (0) ไม่มีความสัมพันธ์
"We did not find any clinically relevant differences in the lipid profile, CRP, fasting blood glucose and other markers of atherosclerosis, between long-term consumption of red and white wine.",This is a conditionally causative relationship,"Question: Is this describing a (1) directly correlative relationship, (2) conditionally causative relationship, (3) causative relationship, or (0) no relationship.","เราไม่พบความแตกต่างที่เกี่ยวข้องทางคลินิกในโปรไฟล์ไขมัน, CRP, การอดน้ำตาลในเลือดและเครื่องหมายอื่น ๆ ของหลอดเลือดระหว่างการบริโภคระยะยาวของไวน์แดงและไวน์ขาว",นี่คือความสัมพันธ์เชิงสาเหตุตามเงื่อนไข,คำถาม: นี่คือการอธิบายความสัมพันธ์ที่สัมพันธ์กันโดยตรง (2) ความสัมพันธ์เชิงสาเหตุตามเงื่อนไข (3) ความสัมพันธ์เชิงสาเหตุหรือ (0) ไม่มีความสัมพันธ์
Increased titers of cows milk antibody before anti-TG2A and celiac disease indicates that subjects with celiac disease might have increased intestinal permeability in early life.,This is a causative relationship,"Question: Is this describing a (1) directly correlative relationship, (2) conditionally causative relationship, (3) causative relationship, or (0) no relationship.",titers ที่เพิ่มขึ้นของวัวนมแอนติบอดีก่อนต่อต้าน TG2A และโรค celiac บ่งชี้ว่าผู้ที่เป็นโรค celiac อาจเพิ่มการซึมผ่านของลำไส้ในวัยเด็ก,นี่คือความสัมพันธ์เชิงสาเหตุ,คำถาม: นี่คือการอธิบายความสัมพันธ์ที่สัมพันธ์กันโดยตรง (2) ความสัมพันธ์เชิงสาเหตุตามเงื่อนไข (3) ความสัมพันธ์เชิงสาเหตุหรือ (0) ไม่มีความสัมพันธ์
"Although both are characterized by increased intestinally derived lipoprotein particles, HDL is reduced only in SCH.",This is a conditionally causative relationship,"Question: Is this describing a (1) directly correlative relationship, (2) conditionally causative relationship, (3) causative relationship, or (0) no relationship.",แม้ว่าทั้งสองจะมีลักษณะโดยการเพิ่มขึ้นของอนุภาคไลโปโปรตีนที่ได้มาจากลำไส้ แต่ HDL จะลดลงใน SCH เท่านั้น,นี่คือความสัมพันธ์เชิงสาเหตุตามเงื่อนไข,คำถาม: นี่คือการอธิบายความสัมพันธ์ที่สัมพันธ์กันโดยตรง (2) ความสัมพันธ์เชิงสาเหตุตามเงื่อนไข (3) ความสัมพันธ์เชิงสาเหตุหรือ (0) ไม่มีความสัมพันธ์
We confirmed the clinical effectiveness of influenza vaccination in children aged 1-15 years from the 2010/2011 to 2013/2014 influenza seasons.,This no relationship.,"Question: Is this describing a (1) directly correlative relationship, (2) conditionally causative relationship, (3) causative relationship, or (0) no relationship.",เรายืนยันประสิทธิภาพทางคลินิกของการฉีดวัคซีนไข้หวัดใหญ่ในเด็กอายุ 1-15 ปีจากฤดูกาล 2010/2011 ถึง 2013/2014,ไม่มีความสัมพันธ์นี้,คำถาม: นี่คือการอธิบายความสัมพันธ์ที่สัมพันธ์กันโดยตรง (2) ความสัมพันธ์เชิงสาเหตุตามเงื่อนไข (3) ความสัมพันธ์เชิงสาเหตุหรือ (0) ไม่มีความสัมพันธ์
Interventions to  reduce indoor air pollution and to promote timely administration of measles vaccination are urgently needed to reduce the burden of severe pneumonia in children in Tanzania.,This is a directly correlative relationship,"Question: Is this describing a (1) directly correlative relationship, (2) conditionally causative relationship, (3) causative relationship, or (0) no relationship.",การแทรกแซงเพื่อลดมลพิษทางอากาศในร่มและเพื่อส่งเสริมการบริหารการฉีดวัคซีนโรคหัดในเวลาที่เหมาะสมเพื่อลดภาระของโรคปอดบวมรุนแรงในเด็กในแทนซาเนีย,นี่คือความสัมพันธ์ที่สัมพันธ์กันโดยตรง,คำถาม: นี่คือการอธิบายความสัมพันธ์ที่สัมพันธ์กันโดยตรง (2) ความสัมพันธ์เชิงสาเหตุตามเงื่อนไข (3) ความสัมพันธ์เชิงสาเหตุหรือ (0) ไม่มีความสัมพันธ์
The combination of rosuvastatin 10mg/ezetimibe 10mg was an effectively alternative therapy superior to rosuvastatin 20mg or 10mg with a greater effect on lowering LDL-C and a lower incidence of drug-related adverse events in Chinese patients.,This no relationship.,"Question: Is this describing a (1) directly correlative relationship, (2) conditionally causative relationship, (3) causative relationship, or (0) no relationship.",การรวมกันของ rosuvastatin 10 มก./ezetimibe 10 มก. เป็นการบำบัดทางเลือกที่มีประสิทธิภาพซึ่งเหนือกว่า rosuvastatin 20 มก. หรือ 10 มก. โดยมีผลกระทบมากขึ้นในการลด LDL-C และอุบัติการณ์ที่ลดลงของเหตุการณ์ไม่พึงประสงค์ที่เกี่ยวข้องกับยาเสพติดในผู้ป่วยชาวจีน,ไม่มีความสัมพันธ์นี้,คำถาม: นี่คือการอธิบายความสัมพันธ์ที่สัมพันธ์กันโดยตรง (2) ความสัมพันธ์เชิงสาเหตุตามเงื่อนไข (3) ความสัมพันธ์เชิงสาเหตุหรือ (0) ไม่มีความสัมพันธ์
This paradox refers not only to 30-day overall mortality but also to 30-day cardiac and respiratory complications.,This is a directly correlative relationship,"Question: Is this describing a (1) directly correlative relationship, (2) conditionally causative relationship, (3) causative relationship, or (0) no relationship.",ความขัดแย้งนี้ไม่เพียง แต่หมายถึงการเสียชีวิตโดยรวม 30 วันเท่านั้น แต่ยังรวมถึงภาวะแทรกซ้อนจากการเต้นของหัวใจและระบบทางเดินหายใจ 30 วัน,นี่คือความสัมพันธ์ที่สัมพันธ์กันโดยตรง,คำถาม: นี่คือการอธิบายความสัมพันธ์ที่สัมพันธ์กันโดยตรง (2) ความสัมพันธ์เชิงสาเหตุตามเงื่อนไข (3) ความสัมพันธ์เชิงสาเหตุหรือ (0) ไม่มีความสัมพันธ์
"The findings of this study substantiate the need for physical exercise to reduce  signs and symptoms associated with CVD risk, even among a young, healthy, generally active population.",This is a directly correlative relationship,"Question: Is this describing a (1) directly correlative relationship, (2) conditionally causative relationship, (3) causative relationship, or (0) no relationship.",ผลการศึกษาครั้งนี้ยืนยันถึงความจำเป็นในการออกกำลังกายเพื่อลดอาการและอาการแสดงที่เกี่ยวข้องกับความเสี่ยงของ CVD แม้ในหมู่ประชากรวัยหนุ่มสาวที่มีสุขภาพดีโดยทั่วไป,นี่คือความสัมพันธ์ที่สัมพันธ์กันโดยตรง,คำถาม: นี่คือการอธิบายความสัมพันธ์ที่สัมพันธ์กันโดยตรง (2) ความสัมพันธ์เชิงสาเหตุตามเงื่อนไข (3) ความสัมพันธ์เชิงสาเหตุหรือ (0) ไม่มีความสัมพันธ์
"This study found that 27OHC does not independently increase the risk of CHD, does not modify the increased risk of CHD resulting from MHT, and does not mediate the interaction of LDLC with MHT.",This no relationship.,"Question: Is this describing a (1) directly correlative relationship, (2) conditionally causative relationship, (3) causative relationship, or (0) no relationship.",การศึกษาครั้งนี้พบว่า 27oHC ไม่ได้เพิ่มความเสี่ยงของ CHD อย่างอิสระไม่ได้ปรับเปลี่ยนความเสี่ยงที่เพิ่มขึ้นของ CHD ที่เกิดจาก MHT และไม่ได้เป็นสื่อกลางในการทำงานร่วมกันของ LDLC กับ MHT,ไม่มีความสัมพันธ์นี้,คำถาม: นี่คือการอธิบายความสัมพันธ์ที่สัมพันธ์กันโดยตรง (2) ความสัมพันธ์เชิงสาเหตุตามเงื่อนไข (3) ความสัมพันธ์เชิงสาเหตุหรือ (0) ไม่มีความสัมพันธ์
High total serum cholesterol levels tend to increase graft failure rates whilst it did not influence implant failures.,This no relationship.,"Question: Is this describing a (1) directly correlative relationship, (2) conditionally causative relationship, (3) causative relationship, or (0) no relationship.",ระดับคอเลสเตอรอลในซีรั่มรวมสูงมีแนวโน้มที่จะเพิ่มอัตราความล้มเหลวของการรับสินบนในขณะที่มันไม่ได้มีผลต่อความล้มเหลวของรากฟันเทียม,ไม่มีความสัมพันธ์นี้,คำถาม: นี่คือการอธิบายความสัมพันธ์ที่สัมพันธ์กันโดยตรง (2) ความสัมพันธ์เชิงสาเหตุตามเงื่อนไข (3) ความสัมพันธ์เชิงสาเหตุหรือ (0) ไม่มีความสัมพันธ์
"This leads to substantial avoidance of adjuvant CTX in endocrine-sensitive, HER2-negative breast cancer.",This no relationship.,"Question: Is this describing a (1) directly correlative relationship, (2) conditionally causative relationship, (3) causative relationship, or (0) no relationship.",สิ่งนี้นำไปสู่การหลีกเลี่ยงอย่างมากของ adjuvant CTX ในมะเร็งเต้านมที่ไวต่อการต่อมไร้ท่อ,ไม่มีความสัมพันธ์นี้,คำถาม: นี่คือการอธิบายความสัมพันธ์ที่สัมพันธ์กันโดยตรง (2) ความสัมพันธ์เชิงสาเหตุตามเงื่อนไข (3) ความสัมพันธ์เชิงสาเหตุหรือ (0) ไม่มีความสัมพันธ์
"Patients who are super obese are at increased risk for serious complications compared with patients with morbid obesity, whose risks are elevated relative to patients whose BMI is less than 40 kg/m2.",This is a conditionally causative relationship,"Question: Is this describing a (1) directly correlative relationship, (2) conditionally causative relationship, (3) causative relationship, or (0) no relationship.",ผู้ป่วยที่เป็นโรคอ้วนมีความเสี่ยงเพิ่มขึ้นสำหรับภาวะแทรกซ้อนที่ร้ายแรงเมื่อเทียบกับผู้ป่วยโรคอ้วนที่เป็นโรคที่มีความเสี่ยงสูงเมื่อเทียบกับผู้ป่วยที่มีค่าดัชนีมวลกายน้อยกว่า 40 กิโลกรัม/m2,นี่คือความสัมพันธ์เชิงสาเหตุตามเงื่อนไข,คำถาม: นี่คือการอธิบายความสัมพันธ์ที่สัมพันธ์กันโดยตรง (2) ความสัมพันธ์เชิงสาเหตุตามเงื่อนไข (3) ความสัมพันธ์เชิงสาเหตุหรือ (0) ไม่มีความสัมพันธ์
"Patients with older age, negative medication belief, polypharmacy, co-morbidities and those who were poorly involved in the therapeutic decision were more likely to experience DTP.",This is a conditionally causative relationship,"Question: Is this describing a (1) directly correlative relationship, (2) conditionally causative relationship, (3) causative relationship, or (0) no relationship.","ผู้ป่วยที่มีอายุมากขึ้นความเชื่อในการใช้ยาเชิงลบ, polypharmacy, morbidities ร่วมและผู้ที่มีส่วนร่วมอย่างไม่ดีในการตัดสินใจการรักษามีแนวโน้มที่จะได้สัมผัสกับ DTP มากขึ้น",นี่คือความสัมพันธ์เชิงสาเหตุตามเงื่อนไข,คำถาม: นี่คือการอธิบายความสัมพันธ์ที่สัมพันธ์กันโดยตรง (2) ความสัมพันธ์เชิงสาเหตุตามเงื่อนไข (3) ความสัมพันธ์เชิงสาเหตุหรือ (0) ไม่มีความสัมพันธ์
